name,current_team,role,active,avg,strike_rate,wickets,economy,recent_form,vs_opponent_avg,home_boost
Arun Karthik,CSK,bat,0,12.75,96.23,0,0,8.2,0.96,1
Vishnu Vinod,PBKS,bat,1,9.33,98.25,0,0,9.4,0.97,1
Mustafizur Rahman,KKR,bowl,0,6.5,54.17,65,7.95,1.4,1,1
Paras Dogra,PWI,bat,0,18.14,90.07,0,0,5.6,0.9,1
Jacques Kallis,KKR,allrounder,0,30.34,105.94,65,7.83,1,1,1
Siddharth Trivedi,RR,bowl,0,6,68.85,65,7.49,1,1,1
Mitchell Starc,DC,bowl,0,12.33,92.5,65,8.48,1,1,1
J Arunkumar,RCB,bat,0,11.5,95.83,0,0,7.67,0.96,1
Akshay Kulkarni,RR,bat,0,4.5,112.5,0,0,4.5,1.12,1
Muttiah Muralitharan,CSK,bowl,0,5,66.67,64,6.7,1.2,1,1
Farhaan Behardien,RCB,bat,0,7,107.69,0,0,4.67,1.08,1
Shakib Al Hasan,SRH,allrounder,0,22.08,119.55,63,7.38,1,1,1
Darren Lehmann,RR,bat,0,9,94.74,0,0,9,0.95,1
Mitchell Johnson,MI,bowl,0,12.85,99.4,62,8.02,1.4,1,1
Anrich Nortje,LSG,bowl,1,7,98,61,9.09,1.6,1,1
Ankit Nath,RCB,bat,0,9,90.91,0,0,9.4,0.91,1
James Faulkner,RR,allrounder,0,21.08,129.8,61,8.62,1.2,1,1
Chetan Madan,PBKS,bat,0,15,71.43,0,0,15,0.71,1
Josh Hazlewood,RCB,bowl,1,0,65.52,60,8.29,2.4,1,1
Rassie van der Dussen,RR,bat,0,11,88,0,0,7.33,0.88,1
Kumar Kushagra,GT,bat,1,5.25,100,0,0,5.25,1,1
Sam Curran,RR,allrounder,0,26.24,131.01,59,9.44,1.2,1,1
Nic Maddinson,RCB,bat,0,6.67,95.24,0,0,6.67,0.95,1
Siddarth Kaul,SRH,bowl,0,10,55.56,58,8.59,1.2,1,1
Ishan Jaggi,KKR,bat,0,15.2,76,0,0,8.6,0.76,1
Abhinav Mukund,CSK,bat,0,9.5,82.61,0,0,9.5,0.83,1
Shane Warne,RR,bowl,0,13.2,90.41,57,7.19,1.4,1,1
Liton Das,KKR,bat,0,4,100,0,0,4,1,1
Amit Bilakhia,RR,bat,0,13.8,78.41,0,0,7,0.78,1
Ameya Paunikar,RR,bat,0,9.8,80.33,0,0,9.8,0.8,1
Tom Banton,KKR,bat,0,9,81.82,0,0,9,0.82,1
Aakash Chopra,KKR,bat,0,13.25,70.67,0,0,10.2,0.71,1
Yashpal Singh,RR,bat,0,11.75,70.15,0,0,11.75,0.7,1
Lockie Ferguson,PBKS,bowl,0,36,146.94,54,8.67,1.6,1,1
Tushar Deshpande,RR,bowl,1,17.67,160.61,54,9.96,1.2,1,1
Vinay Yeligati,DC,bat,0,2,100,0,11.44,2,1,1
Mashrafe Mortaza,KKR,bat,0,2,100,0,12.64,2,1,1
Ricky Ponting,KKR,bat,0,11.38,70.54,0,0,10.4,0.71,1
Jason Holder,GT,bowl,1,12.33,123.34,53,8.81,1.6,1,1
Sajid Shaikh,DC,bat,0,6,85.71,0,0,6,0.86,1
Noor Ahmad,CSK,bowl,1,3,56.61,52,8.29,2.4,1,1
Wiaan Mulder,SRH,bat,0,9,75,0,16,9,0.75,1
Manvinder Bisla Rawat,KKR,bat,0,11,78.57,0,0,4.6,0.79,1
Shreyas Gopal,CSK,bowl,1,12.86,106.51,52,8.16,1.4,1,1
Nathan Rimmington,CSK,bat,0,1,100,0,6.67,1,1,1
Abdul Basith,RR,bat,0,1,100,0,0,1,1,1
Shams Mulani,MI,bat,0,1,100,0,10.36,1,1,1
Shivnarine Chanderpaul,RCB,bat,0,8.33,75.76,0,0,8.33,0.76,1
Joe Root,RR,bat,0,10,66.67,0,7.5,10,0.67,1
Ramakrishna Ghosh,CSK,bat,1,0,0,0,0,0,0,0
Nathan Coulter-Nile,MI,bowl,0,8.2,109.33,48,7.57,1.6,1,1
Shahbaz Nadeem,SRH,bowl,0,3.25,44.32,48,7.48,1.4,1,1
Matheesha Pathirana,KKR,bowl,0,0,0,47,8.68,1.8,1,1
Tim Southee,KKR,bowl,0,12,111.11,47,8.43,1.8,1,1
Sumit Kumar,DC,bat,0,9,69.23,0,10.36,6,0.69,1
Shadab Jakati,CSK,bowl,0,28,93.33,47,8.03,1.4,1,1
Ashton Turner,RR,bat,0,4.8,77.42,0,0,4.8,0.77,1
Akila Dananjaya,MI,bat,0,4,80,0,11.28,4,0.8,1
Thalaivan Sargunam,SRH,bat,0,10,58.82,0,0,10,0.59,1
Wanindu Hasaranga,LSG,bowl,0,6.23,85.26,46,8.42,1.2,1,1
Baba Indrajith,KKR,bat,0,7,67.74,0,0,7,0.68,1
Ryan Harris,DC,bowl,0,9.75,104.46,45,7.53,1.8,1,1
Tarun Srivastava,KXIP,bat,0,8,72.73,0,0,2.67,0.73,1
Anil Kumble,RCB,bowl,0,17.5,71.43,45,6.65,1.6,1,1
Sreenath Aravind,RCB,bowl,0,19.67,100,45,8.05,1.6,1,1
Marcus Stoinis,PBKS,bat,1,28.03,145.45,44,9.84,2,1,1
Varun Aaron,GT,bowl,0,16.67,68.49,44,8.6,1.8,1,1
Yash Dhull,DC,bat,0,5.33,69.57,0,0,5.33,0.7,1
Devdutt Shorey,DC,bat,0,6.5,65,0,0,6.5,0.65,1
Manoj Tiwari,KKR,bat,0,3,75,0,14,3,0.75,1
Chamara Kapugedera,RCB,bat,0,5.33,66.67,0,17.29,5.33,0.67,1
Nikhil Naik,KKR,bat,0,7.75,58.49,0,0,7.75,0.58,1
